w1	w1_freq	n
他	38112	4
名字	466	3
那	7157	3
字眼	114	3
券	1223	2
議長	513	2
他	38112	1
蔡	4728	1
券	1223	1
我	95776	1
世間	37	1
滴滴	5	1
店	575	1
那個	2487	1
每年	354	1
我	95776	1
作者	567	1
日本	1545	1
他們	6386	1
中華人民共和國	67	1
概念	272	1
同齡	22	1
大學	1192	1
愛人	65	1
時代	1506	1
時間	5350	1
咖	202	1
民進黨	5138	1
哲學家	15	1
議長	513	1
她	30659	1
結果	5177	1
有人	2977	1
文章	2899	1
你	22036	1
畢業	692	1
我	95776	1
我們	14072	1
戒嚴	48	1
那個	2487	1
那時	394	1
自己	17629	1
鍾肇政	25	1
日子	571	1
那	7157	1
朋友	8894	1
一切	1186	1
人	23295	1
日子	571	1
市長	7643	1
我	95776	1
戰術	70	1
那	7157	1
青春	121	1
八卦	2250	1
故事	644	1
感情	2667	1
感覺	4656	1
首歌	91	1
世界	1706	1
前女友	640	1
帶隊	28	1
我	95776	1
祝福	291	1
星	75	1
那	7157	1
馬英九	728	1
謝長廷	48	1
馬	837	1
老師	627	1
韓國	8197	1
凱南	14	1
這樣	11313	1
宇宙	100	1
時間	5350	1
牛奶	34	1
有些	1734	1
霸氣	169	1
戰友	26	1
韓國	8197	1
你	22036	1
我	95776	1
自己	17629	1
夫妻	234	1
讀書	312	1
我	95776	1
我	95776	1
學生	978	1
那段	105	1
