w1	w1_freq	n
他	38112	12
她	30659	9
你	22036	9
我	95776	7
他	38112	4
著	4586	3
人	23295	3
著	4586	3
對方	5385	3
名字	466	3
那	7157	3
字眼	114	3
她	30659	2
我	95776	2
祖國	93	2
對方	5385	2
那個	2487	2
券	1223	2
議長	513	2
原本	1569	1
人	23295	1
思念	70	1
聊天	2671	1
我	95776	1
全程	185	1
酈	45	1
日本	1545	1
人	23295	1
多麼	179	1
安全感	325	1
她	30659	1
她	30659	1
人家	1202	1
時候	5951	1
你	22036	1
如何	2189	1
天亮	45	1
迴圈	20	1
空間	713	1
你們	3265	1
意見	1296	1
男	2736	1
情緒	1106	1
無法	2833	1
醇酒	1	1
頻率	341	1
陣子	386	1
該	3922	1
時間	5350	1
心靈	143	1
家鄉	62	1
太苦	8	1
事	4342	1
他	38112	1
思念	70	1
我	95776	1
你	22036	1
男友	5200	1
感覺	4656	1
情緒	1106	1
感情	2667	1
人	23295	1
我們	14072	1
實在太	132	1
滿桌	1	1
孬	84	1
你	22036	1
哪天	113	1
什麼	14154	1
我們	14072	1
時候	5951	1
上週末	21	1
陳年老酒	2	1
你	22036	1
我	95776	1
我們	14072	1
騙人	84	1
什麼	14154	1
太陽	241	1
時候	5951	1
市長	7643	1
人家	1202	1
時光	182	1
我	95776	1
我會	1117	1
腳步	70	1
我	95776	1
傳	1009	1
兒子	359	1
我們	14072	1
那些	1655	1
你	22036	1
時候	5951	1
我	95776	1
妻子	173	1
心情	1384	1
那些	1655	1
時候	5951	1
我	95776	1
她	30659	1
高雄市	2527	1
負面	281	1
著	4586	1
神力	18	1
某個	308	1
東西	2168	1
這個	7012	1
這些	4238	1
聯絡	1216	1
著	4586	1
風景	73	1
大家	10195	1
有時	594	1
人	23295	1
我們	14072	1
酒精	98	1
有些	1734	1
一切	1186	1
著	4586	1
狗	335	1
他	38112	1
蔡	4728	1
券	1223	1
我	95776	1
世間	37	1
滴滴	5	1
店	575	1
那個	2487	1
每年	354	1
我	95776	1
作者	567	1
日本	1545	1
他們	6386	1
中華人民共和國	67	1
概念	272	1
同齡	22	1
大學	1192	1
愛人	65	1
時代	1506	1
時間	5350	1
咖	202	1
民進黨	5138	1
哲學家	15	1
議長	513	1
她	30659	1
結果	5177	1
有人	2977	1
文章	2899	1
你	22036	1
畢業	692	1
我	95776	1
我們	14072	1
戒嚴	48	1
那個	2487	1
那時	394	1
自己	17629	1
鍾肇政	25	1
日子	571	1
那	7157	1
朋友	8894	1
一切	1186	1
人	23295	1
日子	571	1
市長	7643	1
我	95776	1
戰術	70	1
那	7157	1
青春	121	1
八卦	2250	1
故事	644	1
感情	2667	1
感覺	4656	1
首歌	91	1
世界	1706	1
前女友	640	1
帶隊	28	1
我	95776	1
祝福	291	1
星	75	1
那	7157	1
馬英九	728	1
謝長廷	48	1
馬	837	1
老師	627	1
韓國	8197	1
凱南	14	1
這樣	11313	1
宇宙	100	1
時間	5350	1
牛奶	34	1
有些	1734	1
霸氣	169	1
戰友	26	1
韓國	8197	1
你	22036	1
我	95776	1
自己	17629	1
夫妻	234	1
讀書	312	1
我	95776	1
我	95776	1
學生	978	1
那段	105	1
