id,board,context,chunk,keyword
1,政黑,"1.新聞網址︰https://www.ettoday.net/news/20200608/1732634.htm2.新聞來源︰ettoday3.新聞內容︰高市副議長陸淑美曝「許崑源生前遺言」！怒轟民進黨：撕裂民心、操弄社會對立記者張榮恩、戴若涵／高雄報導

挺韓高雄市議會議長許崑源6日晚間墜樓身亡，讓許的妻女都難以接受，消息曝光後震驚
政壇！許崑源的靈堂也於8日上午10時開放，讓親友們能前往弔唁，高市副議長陸淑美也
到場弔唁。

陸淑美表示，這是給各界悼念的第一天，感謝大家對許議長跟家屬的關心，許議長在6月6
日走完人生，高雄失去了一位議長，議會失去了大家長，目前議會將協助遺屬處理治喪事
宜，請大家直接到景行廳緬懷，讓家屬保有寧靜的空間。

陸淑美哽咽指出，許崑源突然的離開讓各界震驚，對許熟悉的人就知道，許是一個重情、
重義、是非分明的人，問政不問藍綠，只問是非。

她曝，許崑源曾留下一段影音，內容提及現在社會已經沒有是非正義了，卻在政黨故意的操弄下，造成社會對立，許崑源付出自己的生命，希望能喚回良知，怒批「民進黨撕裂民心，表達最嚴厲的譴責，希望大家懷念同時，要思及許議長憂慮所在」。陸淑美全文今天是許議長靈堂開放各界悼念的第一天。感謝各界長官、前輩、親朋好友對許議長及其遺屬的關懷。許議長在6月6日走完精彩燦爛的人生，卻也讓6月6日成為我們最悲傷的一天。從此，高雄失去了一位以市民為先、以地方為念，堅守為民服務崗位長達26年的民意代表，而議會則失去了大家長，對此，我們感到非常的哀慟。目前，議會正積極籌備治喪委員會，協助遺屬辦理治喪事宜。在此，我誠懇呼籲，要向許議長追思致意的各界長官、前輩和親朋好友，請直接到第一市立殯儀館的景行廳來緬懷許議長，懇請大家暫時不要到喪宅，讓家屬保有寧靜追思的空間。

許議長突然的離開，讓各界非常震驚；但熟悉議長的好朋友都知道，他是重情重義、是非
分明的人，無論問政或主持議事，向來「只問是非、不問藍綠」。

但他在離世前，曾在FB留下一段影音，他說台灣社會因特定政黨激化，已經沒有是非正義了。高雄本來是個善良純樸的城市，卻在政黨故意的操弄動員下，造成社會強大的對立與仇恨，許議長感到痛心疾首，甚至付出自己的生命，希望能夠喚回社會的良知。因此，我們對於民進黨撕裂民心造成社會動盪不安的做法，表達最嚴厲的譴責。最後，我希望大家在懷念許議長為高雄付出與貢獻的同時，也要深思許議長憂慮之所在，大家一起努力，讓高雄變得更好。再次向各位表達誠摯的謝意。感謝大家。4.附註、心得、想法︰這不是消費 什麼才是消費? 國民黨上下為了一個黑道議長之死整個又坐上失智列車了嗎?
整篇都是笑話 國民黨真的瘋了


--",希望大家懷念同時,懷念
2,政黑,"1.新聞網址︰https://www.ettoday.net/news/20200608/1732634.htm2.新聞來源︰ettoday3.新聞內容︰高市副議長陸淑美曝「許崑源生前遺言」！怒轟民進黨：撕裂民心、操弄社會對立記者張榮恩、戴若涵／高雄報導

挺韓高雄市議會議長許崑源6日晚間墜樓身亡，讓許的妻女都難以接受，消息曝光後震驚
政壇！許崑源的靈堂也於8日上午10時開放，讓親友們能前往弔唁，高市副議長陸淑美也
到場弔唁。

陸淑美表示，這是給各界悼念的第一天，感謝大家對許議長跟家屬的關心，許議長在6月6
日走完人生，高雄失去了一位議長，議會失去了大家長，目前議會將協助遺屬處理治喪事
宜，請大家直接到景行廳緬懷，讓家屬保有寧靜的空間。

陸淑美哽咽指出，許崑源突然的離開讓各界震驚，對許熟悉的人就知道，許是一個重情、
重義、是非分明的人，問政不問藍綠，只問是非。

她曝，許崑源曾留下一段影音，內容提及現在社會已經沒有是非正義了，卻在政黨故意的操弄下，造成社會對立，許崑源付出自己的生命，希望能喚回良知，怒批「民進黨撕裂民心，表達最嚴厲的譴責，希望大家懷念同時，要思及許議長憂慮所在」。陸淑美全文今天是許議長靈堂開放各界悼念的第一天。感謝各界長官、前輩、親朋好友對許議長及其遺屬的關懷。許議長在6月6日走完精彩燦爛的人生，卻也讓6月6日成為我們最悲傷的一天。從此，高雄失去了一位以市民為先、以地方為念，堅守為民服務崗位長達26年的民意代表，而議會則失去了大家長，對此，我們感到非常的哀慟。目前，議會正積極籌備治喪委員會，協助遺屬辦理治喪事宜。在此，我誠懇呼籲，要向許議長追思致意的各界長官、前輩和親朋好友，請直接到第一市立殯儀館的景行廳來緬懷許議長，懇請大家暫時不要到喪宅，讓家屬保有寧靜追思的空間。

許議長突然的離開，讓各界非常震驚；但熟悉議長的好朋友都知道，他是重情重義、是非
分明的人，無論問政或主持議事，向來「只問是非、不問藍綠」。

但他在離世前，曾在FB留下一段影音，他說台灣社會因特定政黨激化，已經沒有是非正義了。高雄本來是個善良純樸的城市，卻在政黨故意的操弄動員下，造成社會強大的對立與仇恨，許議長感到痛心疾首，甚至付出自己的生命，希望能夠喚回社會的良知。因此，我們對於民進黨撕裂民心造成社會動盪不安的做法，表達最嚴厲的譴責。最後，我希望大家在懷念許議長為高雄付出與貢獻的同時，也要深思許議長憂慮之所在，大家一起努力，讓高雄變得更好。再次向各位表達誠摯的謝意。感謝大家。4.附註、心得、想法︰這不是消費 什麼才是消費? 國民黨上下為了一個黑道議長之死整個又坐上失智列車了嗎?
整篇都是笑話 國民黨真的瘋了


--",我希望大家在懷念許議長為高雄付出與貢獻的同時,懷念
3,政黑,"來 別說我造謠 引述以下新聞

高市副議長陸淑美曝「許崑源生前遺言」！怒轟民進黨：撕裂民心、操弄社會對立https://www.ettoday.net/news/20200608/1732634.htm陸淑美全文

今天是許議長靈堂開放各界悼念的第一天。
感謝各界長官、前輩、親朋好友對許議長及其遺屬的關懷。
許議長在6月6日走完精彩燦爛的人生，卻也讓6月6日成為我們最悲傷的一天。
從此，高雄失去了一位以市民為先、以地方為念，堅守為民服務崗位長達26年的民意代表
，而議會則失去了大家長，對此，我們感到非常的哀慟。
目前，議會正積極籌備治喪委員會，協助遺屬辦理治喪事宜。在此，我誠懇呼籲，要向許
議長追思致意的各界長官、前輩和親朋好友，請直接到第一市立殯儀館的景行廳來緬懷許
議長，懇請大家暫時不要到喪宅，讓家屬保有寧靜追思的空間。
許議長突然的離開，讓各界非常震驚；但熟悉議長的好朋友都知道，他是重情重義、是非
分明的人，無論問政或主持議事，向來「只問是非、不問藍綠」。
但他在離世前，曾在FB留下一段影音，他說台灣社會因特定政黨激化，已經沒有是非正義
了。高雄本來是個善良純樸的城市，卻在政黨故意的操弄動員下，造成社會強大的對立與仇恨，許議長感到痛心疾首，甚至付出自己的生命，希望能夠喚回社會的良知。因此，我們對於民進黨撕裂民心造成社會動盪不安的做法，表達最嚴厲的譴責。最後，我希望大家在懷念許議長為高雄付出與貢獻的同時，也要深思許議長憂慮之所在，
大家一起努力，讓高雄變得更好。
再次向各位表達誠摯的謝意。感謝大家。



死到臨頭 還瞎雞八亂扯 罷韓是民進黨操弄

惡意製造社會對立

完全不願面對高雄93.9萬民意

不思檢討 韓國瑜本身的問題


許崑源喔 ? 死好啦

這種咖 要死還拖台灣社會下水 製造對立


--",我希望大家在懷念許議長為高雄付出與貢獻的同時,懷念
4,政黑,"6月2號
peggy發文痛幹陳時中 說他說謊 台灣季的信沒有警告意味

同時間新加坡何晶 用聯合報漫畫嘲諷川普

過一天
peggy又發文痛幹陳時中 說他沒人性不安排小明回家

同時間美國黑人大暴亂

都是為了掩蓋6月6日 罷韓

柯韓譚星粉+美國黑人 習近平 明幫暗助

卻仍逃不過罷韓成功的命運

peggy現在心情怎麼樣 ? 會不會桑心

想念韓總家的大黃狗嗎??






--★▲★◥█◤◤◥★= 柯痞★--","6月2號
peggy發文痛幹陳時中 說他說謊 台灣季的信沒有警告意味

同時間新加坡何晶 用聯合報漫畫嘲諷川普

過一天
peggy又發文痛幹陳時中 說他沒人性不安排小明回家

同時間美國黑人大暴亂

都是為了掩蓋6月6日 罷韓

柯韓譚星粉+美國黑人 習近平 明幫暗助

卻仍逃不過罷韓成功的命運

peggy現在心情怎麼樣 ? 會不會桑心

想念韓總家的大黃狗嗎??






--★▲★◥█◤◤◥★= 柯痞★--",想念
5,政黑,"我凍未條了！　杏仁哥「議長是我老大」https://www.ettoday.net/news/20200606/1731921.htm今（6）日晚間韓國瑜以93.9（939,090）萬票的票數，確定遭到罷免，而就在沒多久之後
，就傳出向來挺韓國瑜聞名的高雄市議長許崑源墜樓身亡的消息，各界都感到十分震驚。

「杏仁哥」則是在晚間於臉書開以「我們不能再忍了」為題開直播，一開頭就喊出「我凍
未條了」4字，表現出自己激動、悲傷的情緒，隨後他表示自己正在趕赴九龍殯儀館，打給
議長夫人也沒接電話，更在途中表示「議長我們不會讓你白白犧牲」、「一定要討回這口
氣」，數度講到哽咽，氣憤之情相當難平。

僅僅36分鐘的直播，就有14萬次的觀看，網友更紛紛留言「議長一路好走」、「許議，我
們永遠懷念你」、「杏仁哥 堅強起來」」、「一定要幫議長討回公道」。

-------------------------------------------
這是要韓粉出來搞事的意思??
也請各位身邊有韓粉的朋友或長輩的多注意一下他們
以免造成憾事阿~

--","我
們永遠懷念你」、「杏仁哥 堅強起來」」、「一定要幫議長討回公道」",懷念
6,政黑,"如果確認GG了
不知道要講什麼台詞
我猜是退出政壇balabala
然後韓粉就會說
少了一位可以和孫中山比美的歷史偉人https://i.imgur.com/d1UVfL8.jpg不知道高雄市政府擬好兩套新聞稿了沒有？
不過如果GG 我覺得韓會蠻高興的
一年半當市長大概賺了400萬
加上原本的錢 爛醉打通宵麻將早上才睡
應該可以過一輩子
他應該其實蠻想念以前的生活的

當市長太累了 每天有時候行程早上06：00-晚上23：00 誰受的了 喝酒睡到中午再起來
吃喝玩樂的生活爽多了！急流勇退 有過就好 不過可能還是會拒絕回去面對李佳芬

--","
不過如果gg 我覺得韓會蠻高興的
一年半當市長大概賺了400萬
加上原本的錢 爛醉打通宵麻將早上才睡
應該可以過一輩子
他應該其實蠻想念以前的生活的

當市長太累了 每天有時候行程早上06：00-晚上23：00 誰受的了 喝酒睡到中午再起來
吃喝玩樂的生活爽多了",想念
7,政黑,"1.轉錄標題︰若為BBS他板文章可免填 FB請寫名稱「光復高雄」針對的是韓國瑜們1.轉錄網址︰※超過一行請縮址，若為BBS他板文章可免填※https://reurl.cc/GVll3D2.轉錄來源︰※超過一行請縮址，若為   他板文章可免填※voicetank3.轉錄內容︰※請完整轉載原文 請勿修改內文與編排※經歷一年多的努力，高雄終於迎來六月六號的罷免投票日，回顧一年多以來，高雄人所經
歷的，是當初投票給韓國瑜，皆始料未及的。



如果要問高雄人，韓國瑜應該被罷免的原因，一百個人，有一百零一種答案。

　

許多人不解，如此荒誕的政治人物，當初究竟是如何坐上高雄市長一位的呢？

　

筆者認為，他起先當選的原因，亦是如今必須被罷免，最重要的理由。韓國瑜的當選，來
自兩個中國的協助—對中華民國的懷念，以及中華人民共和國的推波助瀾。



回顧韓國瑜的當選，無非是訴諸懷舊，將自己包裝為清廉、勤政的形象（當然到後來都破
功了），屢屢使用「庶民語言」，用幾乎不必有任何背景，也能快速記憶甚至朗朗上口的
口號，牢牢掌握在台灣社會、經濟、政治近幾十年來，巨幅變動下，感到無所適從的人們
，讓他們成為「韓粉」。



許多韓粉認為，韓國瑜是蔣經國般的「明君」，無疑是對改變前的台灣社會感到懷念，或
說更適應過去的日子，然而逝去的時光不會再回來，只能找一個「懂我的無助」的政治人
物，拼命相信，一旦抓住浮木，便難以看見眾多疑點。

　

然而，有了這樣的利基，一個與高雄幾無淵源的候選人，要在半年內竄起，實屬不易，韓
國瑜卻以病毒式的媒體曝光，橫掃高雄，更讓全台灣一片譁然。



後來，透過選後的種種分析，我們得以確定，「中國介入選舉」的情況相當嚴峻。根據國
家通訊傳播委員會（NCC）後來發布的《107年地方公職人員選舉競選期間電視新聞報導觀
察統計委託研究案》，中天、中視在選舉前的最後兩周，皆以超過五成的新聞播放秒數，
用以報導韓國瑜，明顯超過正常比例。



而中天、中視所屬的旺旺中時媒體集團更是長期以親中言論著稱，後來更爆出收受中國「
政府補助款」十一年來，高達152億台幣。且去年六月，美國外交雜誌《外交政策》（
Foreign Policy），更指出韓國瑜宣布參選高雄市長隔日，便有來自中國的網軍成立各式
粉專，開始大量散播假消息，以支持韓國瑜，打擊對手。

　

這樣的當選背景，我們可以曉得，中國已經能夠利用台灣的認同差異，以及發展過程中的
矛盾，在台灣將一位沒沒無聞的候選人拱上大位。



也就可以想見，在韓國瑜當選市長以後，會持續以各種歧視女性、排外的言論以及鋪馬路
、挖水溝等能夠眼見為憑的政績，以符合「庶民」的期待，只要做不到的，都是有邪惡的
對手在阻撓。在另一方面則擅自開「小三通」讓人進得來，與中國簽MOU銷售農產品、進
中聯辦賣水果，讓貨出得去。



這些「拚經濟」的所作所為，事實上，都是將高雄整合進中國為首的經濟秩序，當然，要
在中國「悶聲發大財」，就必須像眾多西進藝人一樣，符合其政治立場，也就難怪，韓國
瑜無法、也不會在第一時間對香港的民主抗爭表態，只能以不清楚迴避；也就難怪，儘管
在當時的時空背景，全台灣都曉得中國的威脅，全台灣瀰漫「亡國感」，韓國瑜面對節目
主持人博恩追問「哪個國家最危害台灣安全？」，都無法明確回答中國兩個字。



與其說這是韓國瑜懦弱，不如說，這是每一個仰仗中國的政治人物的阿基里斯腱，當中國
仍繼續影響台灣的政治環境，就會一再的有下一個韓國瑜，哪怕是情勢大好，也遲遲不敢
對中國表態。

　

這樣不穩固的基礎，韓國瑜的政治承諾自然不是對選民的承諾，更非執政藍圖，僅僅是破
洞百出的政治芭樂票。虛胖的政治體質，也致使韓國瑜必然像是一台失速列車一樣，不能
正常的當市長，而是在當選四個月之時，就以承擔之姿，落跑選總統，用更多的「假話」
、「空話」、「大話」包裝自己，以免像現在一樣，市長位置還沒坐熱，就立刻被看破手
腳，滿意度瞬間跌破谷底，如今面對史上首次的罷免案，只能一改高調曝光，放低姿態，
甚至訴求不投票、監視投票市民，製造恐懼，試圖透過投票率，僥倖保住市長一職。

　

韓國瑜雲霄飛車式的興起與落下，對台灣而言，是幸運，也是警訊。



幸運的是，面對台灣第一個純然被中國捧起的候選人，我們得以有這個機會，將他罷免，
讓他從此消失在台灣的政治舞台上。警訊則是，我們若不清除中國對台灣的介入，就會有
下一個韓國瑜出現的可能性。

　

作為高雄人，罷免韓國瑜有雙重的意義，一是高雄這座城市，透過一年多的苦行，得以再
度展現意志，透過投票，重新凝聚被韓國瑜撕裂的社會，共同承擔高雄的未來；更是替著
台灣，結束這場Made in China的政治鬧劇。

　

而在「光復香港」尚未成功的此時，我也認為，光復高雄，多少能夠為香港的朋友帶來鼓
舞。儘管在高雄，我們只要在六月六號這天站出來，投下票，就能成功，在香港卻要冒著
警察的施暴、被消失的風險，才能守住底線。但當「光復高雄」成功，就代表著市民對城
市的愛，可以突圍，誠如罷免行動領銜人陳冠榮在電視說明會上所言「『光復高雄』，就
是在告訴香港手足，總有一天，『光復香港、時代革命』一定會成功。」。

　

由衷期待，所有高雄人，都能在六月六日這一天，投下罷免票，替高雄爭氣、為台灣除害
，給香港支持。4.附註、心得、想法︰事實上
韓
背後的
幾百萬無法適應現代的
威權遺孽
就是
幾百萬
韓國瑜們
早已喪心病狂
趁此罷免引蛇出洞直到他們崩潰自爆

--","來
自兩個中國的協助—對中華民國的懷念",懷念
8,政黑,"1.轉錄標題︰若為BBS他板文章可免填 FB請寫名稱「光復高雄」針對的是韓國瑜們1.轉錄網址︰※超過一行請縮址，若為BBS他板文章可免填※https://reurl.cc/GVll3D2.轉錄來源︰※超過一行請縮址，若為   他板文章可免填※voicetank3.轉錄內容︰※請完整轉載原文 請勿修改內文與編排※經歷一年多的努力，高雄終於迎來六月六號的罷免投票日，回顧一年多以來，高雄人所經
歷的，是當初投票給韓國瑜，皆始料未及的。



如果要問高雄人，韓國瑜應該被罷免的原因，一百個人，有一百零一種答案。

　

許多人不解，如此荒誕的政治人物，當初究竟是如何坐上高雄市長一位的呢？

　

筆者認為，他起先當選的原因，亦是如今必須被罷免，最重要的理由。韓國瑜的當選，來
自兩個中國的協助—對中華民國的懷念，以及中華人民共和國的推波助瀾。



回顧韓國瑜的當選，無非是訴諸懷舊，將自己包裝為清廉、勤政的形象（當然到後來都破
功了），屢屢使用「庶民語言」，用幾乎不必有任何背景，也能快速記憶甚至朗朗上口的
口號，牢牢掌握在台灣社會、經濟、政治近幾十年來，巨幅變動下，感到無所適從的人們
，讓他們成為「韓粉」。



許多韓粉認為，韓國瑜是蔣經國般的「明君」，無疑是對改變前的台灣社會感到懷念，或
說更適應過去的日子，然而逝去的時光不會再回來，只能找一個「懂我的無助」的政治人
物，拼命相信，一旦抓住浮木，便難以看見眾多疑點。

　

然而，有了這樣的利基，一個與高雄幾無淵源的候選人，要在半年內竄起，實屬不易，韓
國瑜卻以病毒式的媒體曝光，橫掃高雄，更讓全台灣一片譁然。



後來，透過選後的種種分析，我們得以確定，「中國介入選舉」的情況相當嚴峻。根據國
家通訊傳播委員會（NCC）後來發布的《107年地方公職人員選舉競選期間電視新聞報導觀
察統計委託研究案》，中天、中視在選舉前的最後兩周，皆以超過五成的新聞播放秒數，
用以報導韓國瑜，明顯超過正常比例。



而中天、中視所屬的旺旺中時媒體集團更是長期以親中言論著稱，後來更爆出收受中國「
政府補助款」十一年來，高達152億台幣。且去年六月，美國外交雜誌《外交政策》（
Foreign Policy），更指出韓國瑜宣布參選高雄市長隔日，便有來自中國的網軍成立各式
粉專，開始大量散播假消息，以支持韓國瑜，打擊對手。

　

這樣的當選背景，我們可以曉得，中國已經能夠利用台灣的認同差異，以及發展過程中的
矛盾，在台灣將一位沒沒無聞的候選人拱上大位。



也就可以想見，在韓國瑜當選市長以後，會持續以各種歧視女性、排外的言論以及鋪馬路
、挖水溝等能夠眼見為憑的政績，以符合「庶民」的期待，只要做不到的，都是有邪惡的
對手在阻撓。在另一方面則擅自開「小三通」讓人進得來，與中國簽MOU銷售農產品、進
中聯辦賣水果，讓貨出得去。



這些「拚經濟」的所作所為，事實上，都是將高雄整合進中國為首的經濟秩序，當然，要
在中國「悶聲發大財」，就必須像眾多西進藝人一樣，符合其政治立場，也就難怪，韓國
瑜無法、也不會在第一時間對香港的民主抗爭表態，只能以不清楚迴避；也就難怪，儘管
在當時的時空背景，全台灣都曉得中國的威脅，全台灣瀰漫「亡國感」，韓國瑜面對節目
主持人博恩追問「哪個國家最危害台灣安全？」，都無法明確回答中國兩個字。



與其說這是韓國瑜懦弱，不如說，這是每一個仰仗中國的政治人物的阿基里斯腱，當中國
仍繼續影響台灣的政治環境，就會一再的有下一個韓國瑜，哪怕是情勢大好，也遲遲不敢
對中國表態。

　

這樣不穩固的基礎，韓國瑜的政治承諾自然不是對選民的承諾，更非執政藍圖，僅僅是破
洞百出的政治芭樂票。虛胖的政治體質，也致使韓國瑜必然像是一台失速列車一樣，不能
正常的當市長，而是在當選四個月之時，就以承擔之姿，落跑選總統，用更多的「假話」
、「空話」、「大話」包裝自己，以免像現在一樣，市長位置還沒坐熱，就立刻被看破手
腳，滿意度瞬間跌破谷底，如今面對史上首次的罷免案，只能一改高調曝光，放低姿態，
甚至訴求不投票、監視投票市民，製造恐懼，試圖透過投票率，僥倖保住市長一職。

　

韓國瑜雲霄飛車式的興起與落下，對台灣而言，是幸運，也是警訊。



幸運的是，面對台灣第一個純然被中國捧起的候選人，我們得以有這個機會，將他罷免，
讓他從此消失在台灣的政治舞台上。警訊則是，我們若不清除中國對台灣的介入，就會有
下一個韓國瑜出現的可能性。

　

作為高雄人，罷免韓國瑜有雙重的意義，一是高雄這座城市，透過一年多的苦行，得以再
度展現意志，透過投票，重新凝聚被韓國瑜撕裂的社會，共同承擔高雄的未來；更是替著
台灣，結束這場Made in China的政治鬧劇。

　

而在「光復香港」尚未成功的此時，我也認為，光復高雄，多少能夠為香港的朋友帶來鼓
舞。儘管在高雄，我們只要在六月六號這天站出來，投下票，就能成功，在香港卻要冒著
警察的施暴、被消失的風險，才能守住底線。但當「光復高雄」成功，就代表著市民對城
市的愛，可以突圍，誠如罷免行動領銜人陳冠榮在電視說明會上所言「『光復高雄』，就
是在告訴香港手足，總有一天，『光復香港、時代革命』一定會成功。」。

　

由衷期待，所有高雄人，都能在六月六日這一天，投下罷免票，替高雄爭氣、為台灣除害
，給香港支持。4.附註、心得、想法︰事實上
韓
背後的
幾百萬無法適應現代的
威權遺孽
就是
幾百萬
韓國瑜們
早已喪心病狂
趁此罷免引蛇出洞直到他們崩潰自爆

--",無疑是對改變前的台灣社會感到懷念,懷念
9,政黑,"從罷韓連署第一階段開始
就算不被看好，
即使千辛萬苦，
到市場宣傳還要被韓粉用車撞
我們台灣基進也一路陪著高雄人走到現在，
當然還有辛苦的we care
以及公民割草
真的很謝謝大家（鞠躬
高雄人加油！

#只有戰死沒有投降


嗨嗨～大家早安押
今天的南瓜早餐就是顆水煮蛋！
好期待午餐啊～♪
長指甲的時候就很懷念note的筆！
還是我下支手機換回note= =
今早鼓起勇氣量了體重，
又下降了一點顛
褲子真的有鬆感ㄏㄏ
好想趕快穿回我的窄裙啊～

但是我要把午餐吃關關！

--南瓜派--","
好期待午餐啊～♪
長指甲的時候就很懷念note的筆",懷念
10,政黑,"現在政府不發現金，印那什麼三振券
怕人存起來
根本假議題

以市場的邏輯來說
把三振券當一種商品
自然就會有一個新台幣定價的價格
自然會有三振券的交易
有人想存錢、網購的
就會把三振券拿出來賣
三振券的價格可能是2700～2999元
想賣一定賣得掉，價錢多少而已

就算是那些覺青
嗆說要收購三振券的
也不可能拿超過3000元收購
三振券的現金價值<3000

但政府發行這些券的成本是3000+行政成本
行政成本包含設計、印制、發放、兑換、審查

也就是
政府花了超過3000塊的成本
創造出的價值小於3000
然後又加了很多限制
這些限制又增加了行政成本、減少現金價值
又造成更多經濟損失

結論是現金最好
搞這些真的沒意義
懷念2008的蔡英文





--","價錢多少而已

就算是那些覺青
嗆說要收購三振券的
也不可能拿超過3000元收購
三振券的現金價值<3000

但政府發行這些券的成本是3000+行政成本
行政成本包含設計、印制、發放、兑換、審查

也就是
政府花了超過3000塊的成本
創造出的價值小於3000
然後又加了很多限制
這些限制又增加了行政成本、減少現金價值
又造成更多經濟損失

結論是現金最好
搞這些真的沒意義
懷念2008的蔡英文





--",懷念
