|---------------------------------------------------------------------|
| This output is provided without any warranty on an as-is basis by   |
| Stefan Th. Gries <http://www.linguistics.ucsb.edu/faculty/stgries/> |
| Please cite the program as mentioned in <readme.txt>. Thanks a lot! |
|---------------------------------------------------------------------|

 Thu Jan 07 00:11:30 2021 

word.freq: frequency of the word in the corpus
obs.freq: observed frequency of the word with/in  missing
exp.freq: expected frequency of the word with/in missing
faith: percentage of how many instances of the word occur with/in missing
relation: relation of the word to missing
delta.p.constr.to.word: delta p: how much does the word/construction help guess the word?
delta.p.constr.to.word: delta p: how much does the construction help guess the word/construction?
coll.strength: index of collocational/collostructional strength: log-likelihood, the higher, the stronger

words	word.freq	obs.freq	exp.freq	relation	faith	delta.p.constr.to.word	delta.p.word.to.constr	coll.strength
字眼	114	3	0.01	attraction	0.03	0.01	0.03	31.87
他	38112	12	1.86	attraction	0	0.04	0	24.9
名字	466	3	0.02	attraction	0.01	0.01	0.01	23.4
你	22036	9	1.07	attraction	0	0.03	0	22.66
祖國	93	2	0	attraction	0.02	0.01	0.02	20.43
醇酒	1	1	0	attraction	1	0	1	19.86
滿桌	1	1	0	attraction	1	0	1	19.86
她	30659	9	1.49	attraction	0	0.03	0	17.53
陳年老酒	2	1	0	attraction	0.5	0	0.5	17.09
滴滴	5	1	0	attraction	0.2	0	0.2	14.86
太苦	8	1	0	attraction	0.12	0	0.12	13.83
議長	513	2	0.02	attraction	0	0.01	0	13.6
凱南	14	1	0	attraction	0.07	0	0.07	12.66
哲學家	15	1	0	attraction	0.07	0	0.07	12.52
神力	18	1	0	attraction	0.06	0	0.06	12.14
迴圈	20	1	0	attraction	0.05	0	0.05	11.92
上週末	21	1	0	attraction	0.05	0	0.05	11.82
同齡	22	1	0	attraction	0.05	0	0.05	11.73
鍾肇政	25	1	0	attraction	0.04	0	0.04	11.47
戰友	26	1	0	attraction	0.04	0	0.04	11.39
帶隊	28	1	0	attraction	0.04	0	0.04	11.24
牛奶	34	1	0	attraction	0.03	0	0.03	10.84
世間	37	1	0	attraction	0.03	0	0.03	10.67
酈	45	1	0	attraction	0.02	0	0.02	10.28
天亮	45	1	0	attraction	0.02	0	0.02	10.28
券	1223	2	0.06	attraction	0	0.01	0	10.19
戒嚴	48	1	0	attraction	0.02	0	0.02	10.15
謝長廷	48	1	0	attraction	0.02	0	0.02	10.15
著	4586	3	0.22	attraction	0	0.01	0	10.06
著	4586	3	0.22	attraction	0	0.01	0	10.06
家鄉	62	1	0	attraction	0.02	0	0.02	9.63
愛人	65	1	0	attraction	0.02	0	0.02	9.54
中華人民共和國	67	1	0	attraction	0.01	0	0.01	9.47
思念	70	1	0	attraction	0.01	0	0.01	9.39
思念	70	1	0	attraction	0.01	0	0.01	9.39
腳步	70	1	0	attraction	0.01	0	0.01	9.39
戰術	70	1	0	attraction	0.01	0	0.01	9.39
風景	73	1	0	attraction	0.01	0	0.01	9.3
星	75	1	0	attraction	0.01	0	0.01	9.25
對方	5385	3	0.26	attraction	0	0.01	0	9.17
孬	84	1	0	attraction	0.01	0	0.01	9.02
騙人	84	1	0	attraction	0.01	0	0.01	9.02
首歌	91	1	0	attraction	0.01	0	0.01	8.86
酒精	98	1	0	attraction	0.01	0	0.01	8.71
宇宙	100	1	0	attraction	0.01	0	0.01	8.67
那段	105	1	0.01	attraction	0.01	0	0.01	8.57
哪天	113	1	0.01	attraction	0.01	0	0.01	8.43
青春	121	1	0.01	attraction	0.01	0	0.01	8.29
實在太	132	1	0.01	attraction	0.01	0	0.01	8.12
心靈	143	1	0.01	attraction	0.01	0	0.01	7.96
那	7157	3	0.35	attraction	0	0.01	0	7.64
霸氣	169	1	0.01	attraction	0.01	0	0.01	7.62
妻子	173	1	0.01	attraction	0.01	0	0.01	7.58
