w1	w1_freq	n
著	4586	3
她	30659	2
我	95776	2
祖國	93	2
對方	5385	2
原本	1569	1
人	23295	1
思念	70	1
聊天	2671	1
我	95776	1
全程	185	1
酈	45	1
日本	1545	1
人	23295	1
多麼	179	1
安全感	325	1
她	30659	1
她	30659	1
人家	1202	1
時候	5951	1
你	22036	1
如何	2189	1
天亮	45	1
迴圈	20	1
空間	713	1
你們	3265	1
意見	1296	1
男	2736	1
情緒	1106	1
無法	2833	1
醇酒	1	1
頻率	341	1
陣子	386	1
該	3922	1
時間	5350	1
心靈	143	1
家鄉	62	1
太苦	8	1
事	4342	1
他	38112	1
思念	70	1
我	95776	1
你	22036	1
男友	5200	1
感覺	4656	1
情緒	1106	1
感情	2667	1
人	23295	1
我們	14072	1
實在太	132	1
滿桌	1	1
孬	84	1
你	22036	1
哪天	113	1
什麼	14154	1
我們	14072	1
時候	5951	1
上週末	21	1
陳年老酒	2	1
