w1	w1_freq	n
他	38112	12
她	30659	9
你	22036	9
我	95776	7
人	23295	3
著	4586	3
對方	5385	3
那個	2487	2
你	22036	1
我	95776	1
我們	14072	1
騙人	84	1
什麼	14154	1
太陽	241	1
時候	5951	1
市長	7643	1
人家	1202	1
時光	182	1
我	95776	1
我會	1117	1
腳步	70	1
我	95776	1
傳	1009	1
兒子	359	1
我們	14072	1
那些	1655	1
你	22036	1
時候	5951	1
我	95776	1
妻子	173	1
心情	1384	1
那些	1655	1
時候	5951	1
我	95776	1
她	30659	1
高雄市	2527	1
負面	281	1
著	4586	1
神力	18	1
某個	308	1
東西	2168	1
這個	7012	1
這些	4238	1
聯絡	1216	1
著	4586	1
風景	73	1
大家	10195	1
有時	594	1
人	23295	1
我們	14072	1
酒精	98	1
有些	1734	1
一切	1186	1
著	4586	1
狗	335	1
